分类1	分类2	cate-flag	食材名称	热量	碳水化合物	蛋白质	脂肪	归经	性	味
高糖禁忌	糖尿病忌食	300#119	甘薯片	344.00	4.70	0.80	80.50	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#238	甜菜根	87.00	1.00	0.10	23.50	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#274	奶柿子	15.00	0.60	0.10	3.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#357	酸白菜(酸菜)	10.00	0.70	0.20	2.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#396	甜菜叶	22.00	1.80	0.10	4.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#427	百合	166.00	3.20	0.10	38.80	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#451	芋头	81.00	2.20	0.20	18.10	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#513	香椿	50.00	1.70	0.40	10.90	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#685	大枣(干)	317.00	2.10	0.40	81.10	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#689	黑枣(无核)	234.00	1.70	0.30	57.30	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#749	荔枝	71.00	0.90	0.20	16.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#752	香蕉	93.00	1.40	0.20	22.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#753	杨梅	30.00	0.80	0.20	6.70	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#759	桂圆(干)	319.00	5.60	0.20	76.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#763	榴莲	150.00	2.60	3.30	28.30	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#778	甜瓜	27.00	0.40	0.10	6.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#881	猪肝	129.00	19.30	3.50	5.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#888	猪肚	110.00	15.20	5.10	0.70	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#901	猪蹄(熟)	260.00	23.60	17.00	3.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1049	鸡心	172.00	15.90	11.80	0.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1135	黄油	888.00	1.40	98.00	0.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1195	鲫鱼	108.00	17.10	2.70	3.80	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1200	鳙鱼	100.00	15.30	2.20	4.70	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1233	鲑鱼子酱(大麻哈鱼子酱)	252.00	10.90	16.80	14.40	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1255	鱼子酱	201.00	9.60	7.10	24.70	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1285	河虾	87.00	16.40	2.40	0.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1306	鲍鱼(杂色鲍)	84.00	12.60	0.80	6.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1403	蛋糕	348.00	8.60	5.10	67.10	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1412	月饼(百寿宴点)	435.00	5.10	22.10	55.30	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1483	方便面	473.00	9.50	21.10	61.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1504	韭菜合子	210.00	7.50	11.30	20.30	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1508	面包	313.00	8.30	5.10	58.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1524	饼干	435.00	9.00	12.70	71.70	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1599	甘蔗汁	65.00	0.40	0.10	16.00			
高糖禁忌	糖尿病忌食	300#1661	啤酒		0.40	0.00				
高糖禁忌	糖尿病忌食	300#1663	葡萄酒		0.10	0.00		肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1672	精制小麦酒		0.00	0.00		肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1673	曲酒(55度)		0.00	0.00				
高糖禁忌	糖尿病忌食	300#1674	小麦酒(48度)		0.00	0.00				
高糖禁忌	糖尿病忌食	300#1675	茅台酒(53%)	0.00	0.00	0.00	0.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1676	五粮液(52%)	0.00	0.00	0.00	0.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1677	伏特加	0.00	0.00	0.00	0.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1678	威士忌	0.00	0.00	0.00	0.10	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1683	白砂糖	400.00	0.00	0.00	99.90	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1747	鸭油(炼)	897.00	0.00	99.70	0.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1749	羊油(炼)	895.00	0.00	99.00	0.90	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1750	猪油(板油)	827.00	0.00	88.70	7.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1751	猪油(炼)	897.00	0.00	99.60	0.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#1866	腌雪里红	29.00	2.40	0.20	5.40	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#31	油饼	403.00	7.90	22.90	42.40	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#32	油条	388.00	6.90	17.60	51.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病忌食	300#62	糯米	350.00	7.30	1.00	78.30	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#78	玉米(鲜)	112.00	4.00	1.20	22.80	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#92	小米	361.00	9.00	3.10	75.10	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#139	黄豆	389.00	35.00	15.90	34.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#140	黄豆粉	441.00	35.00	18.30	37.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#141	豆腐花(干)	401.00	10.00	2.60	84.30	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#145	豆腐	82.00	8.10	3.70	4.20	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#231	樱桃萝卜	13.00	0.90	0.10	3.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#272	西红柿	20.00	0.90	0.20	4.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#275	辣椒(红，尖，干)	295.00	15.00	12.00	52.70			
高糖禁忌	糖尿病宜食	301#277	青椒	27.00	1.40	0.30	5.80	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#319	大蒜(蒜头)	128.00	4.50	0.20	27.60	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#332	洋葱	40.00	1.10	0.20	9.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#374	结球甘蓝(绿)[洋白菜]	17.00	0.90	0.20	4.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#384	冬寒菜[冬苋菜，冬葵]	34.00	3.90	0.40	4.90	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#391	芹菜(白茎)	17.00	0.80	0.10	3.90	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#395	生菜	16.00	1.40	0.40	2.10	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#455	生姜	46.00	1.30	0.60	10.30	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#481	番杏[夏菠菜，新西兰菠菜]		0.00	0.00		肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#604	苹果	54.00	0.20	0.20	13.50	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#675	李子	38.00	0.70	0.20	8.70	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#720	无花果	65.00	1.50	0.10	16.00	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#721	猕猴桃	61.00	0.80	0.60	14.50			
高糖禁忌	糖尿病宜食	301#722	草莓	32.00	1.00	0.20	7.10	肝,大肠	温	甘,酸
高糖禁忌	糖尿病宜食	301#725	橙子	48.00	0.80	0.20	11.10	肝,大肠	温	甘,酸
